,Condition,genes,Method,replicate,time_s,mem_gb
0,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,1,46.879999999999995,0.260748
1,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,2,47.07,0.262204
2,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,3,56.01,0.2622
3,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,4,51.59,0.260772
4,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,5,55.78,0.262208
5,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,6,40.36,0.260764
6,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,7,52.46,0.262208
7,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,8,45.730000000000004,0.26216
8,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,9,41.260000000000005,0.26222
9,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,10,56.9,0.26222
10,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,11,51.06999999999999,0.260784
11,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,12,41.05,0.262208
12,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,13,51.14,0.260776
13,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,14,53.470000000000006,0.2622
14,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,15,57.45,0.262216
15,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,16,48.68,0.262208
16,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,17,51.769999999999996,0.2622
17,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,18,53.45,0.26222
18,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,19,40.16,0.262184
19,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,20,54.31,0.262212
20,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,21,48.14,0.26218
21,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,22,56.28,0.260752
22,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,23,54.370000000000005,0.262208
23,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,24,138.59,0.260768
24,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,25,59.01,0.260752
25,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,26,38.59,0.260616
26,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,27,47.67,0.260772
27,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,28,44.36,0.262216
28,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,29,46.48,0.262216
29,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,30,44.07,0.2622
30,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,31,49.38,0.262204
31,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,32,43.35,0.26216
32,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,33,37.3,0.260776
33,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,34,45.7,0.260788
34,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,35,39.47,0.262204
35,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,36,40.46,0.260756
36,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,37,36.96,0.262204
37,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,38,47.41,0.262164
38,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,39,42.39,0.26078
39,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,40,168.24,0.262196
40,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,41,47.5,0.2622
41,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,42,50.379999999999995,0.26076
42,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,43,50.870000000000005,0.262204
43,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,44,48.980000000000004,0.262216
44,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,45,42.72,0.262188
45,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,46,41.54,0.260772
46,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,47,45.09,0.262216
47,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,48,47.06,0.260732
48,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,49,49.14,0.260736
49,fasttree_genetrees_1600_non,1000,TreePL+CASTLES-Pro,50,47.04,0.260776
50,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,1,26.76,0.131436
51,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,2,24.96,0.132164
52,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,3,24.869999999999997,0.131444
53,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,4,27.28,0.131448
54,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,5,25.72,0.131444
55,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,6,27.6,0.13144
56,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,7,25.27,0.131444
57,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,8,28.15,0.131424
58,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,9,26.15,0.131444
59,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,10,27.53,0.131492
60,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,11,26.91,0.131448
61,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,12,24.02,0.131448
62,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,13,25.23,0.131448
63,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,14,27.33,0.132192
64,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,15,26.34,0.131448
65,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,16,28.509999999999998,0.132164
66,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,17,23.46,0.13144
67,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,18,25.240000000000002,0.131452
68,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,19,25.31,0.131436
69,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,20,26.520000000000003,0.132168
70,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,21,31.39,0.131436
71,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,22,26.99,0.132156
72,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,23,24.21,0.131448
73,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,24,27.79,0.132168
74,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,25,26.98,0.131468
75,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,26,28.29,0.131456
76,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,27,26.6,0.13216
77,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,28,27.299999999999997,0.132172
78,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,29,26.64,0.132168
79,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,30,24.939999999999998,0.131436
80,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,31,26.93,0.131448
81,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,32,22.55,0.131416
82,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,33,23.71,0.131444
83,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,34,26.45,0.131456
84,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,35,27.25,0.131444
85,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,36,26.119999999999997,0.13144
86,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,37,23.55,0.13144
87,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,38,28.490000000000002,0.13146
88,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,39,26.6,0.131448
89,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,40,31.79,0.131444
90,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,41,28.9,0.13216
91,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,42,30.479999999999997,0.131444
92,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,43,31.93,0.131444
93,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,44,28.34,0.131444
94,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,45,24.91,0.131424
95,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,46,25.799999999999997,0.131444
96,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,47,27.869999999999997,0.132168
97,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,48,24.38,0.132152
98,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,49,32.21,0.132148
99,fasttree_genetrees_1600_non,500,TreePL+CASTLES-Pro,50,27.72,0.132168
100,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,1,18.21,0.053876
101,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,2,16.48,0.053876
102,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,3,17.68,0.05388
103,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,4,19.34,0.05388
104,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,5,17.56,0.053884
105,fasttree_genetrees_1600_non,200,TreePL+CASTLES-Pro,6,16.58,0.053876
